Date,Open,High,Low,Close,Volume,Adjusted Close
1997-05-07,409.8,411.73,405.43,405.59,19960000.0,405.59
1997-05-06,408.58,412.68,406.93,409.8,22250000.0,409.8
1997-05-05,400.19,409.17,399.36,408.58,21390000.0,408.58
1997-05-02,394.59,400.78,394.47,400.19,18850000.0,400.19
1997-05-01,397.35,397.35,391.24,394.59,20480000.0,394.59
1997-04-30,395.5,399.99,395.14,397.35,19190000.0,397.35
1997-04-29,387.93,395.58,387.93,395.5,20000000.0,395.5
1997-04-28,387.97,389.07,386.39,387.93,18310000.0,387.93
1997-04-25,390.57,390.81,387.46,387.97,19020000.0,387.97
1997-04-24,392.66,394.24,389.59,390.57,21860000.0,390.57
1997-04-23,394.24,395.18,391.64,392.66,23560000.0,392.66
1997-04-22,387.1,394.47,387.06,394.24,24770000.0,394.24
1997-04-21,385.25,389.82,384.54,387.1,17290000.0,387.1
1997-04-18,379.85,385.25,379.81,385.25,17040000.0,385.25
1997-04-17,381.59,383.08,379.42,379.85,16510000.0,379.85
1997-04-16,381.98,381.98,377.8,381.59,19070000.0,381.59
1997-04-15,378.63,382.02,377.53,381.98,17620000.0,381.98
1997-04-14,375.24,378.67,374.69,378.63,17030000.0,378.63
1997-04-11,382.92,382.92,375.17,375.24,18060000.0,375.24
1997-04-10,387.26,387.38,382.69,382.92,17100000.0,382.92
1997-04-09,386.85,389.61,386.73,387.26,19560000.0,387.26
1997-04-08,385.9,386.96,383.97,386.85,16530000.0,386.85
1997-04-07,383.97,386.81,383.94,385.9,18380000.0,385.9
1997-04-04,383.86,385.6,381.44,383.97,21250000.0,383.97
1997-04-03,392.67,392.67,381.29,383.86,19060000.0,383.86
1997-04-02,397.58,397.58,392.63,392.67,21550000.0,392.67
1997-04-01,399.59,400.23,394.48,397.58,17780000.0,397.58
1997-03-31,401.82,402.05,397.89,399.59,21120000.0,399.59
1997-03-27,407.79,410.32,400.0,401.82,23340000.0,401.82
1997-03-26,404.96,410.89,404.84,407.79,21510000.0,407.79
1997-03-25,403.97,408.62,403.6,404.96,14770000.0,404.96
1997-03-24,400.8,404.16,399.29,403.97,16920000.0,403.97
1997-03-21,394.67,401.36,394.67,400.8,21760000.0,400.8
1997-03-20,396.41,396.71,392.56,394.67,19180000.0,394.67
1997-03-19,395.2,398.23,394.79,396.41,21330000.0,396.41
1997-03-18,397.43,397.74,393.61,395.2,19180000.0,395.2
1997-03-17,396.3,398.11,393.46,397.43,20470000.0,397.43
1997-03-14,390.55,397.7,390.55,396.3,17710000.0,396.3
1997-03-13,395.32,395.32,390.29,390.55,20170000.0,390.55
1997-03-12,398.57,398.57,393.54,395.32,19770000.0,395.32
1997-03-11,403.1,403.1,398.15,398.57,19620000.0,398.57
1997-03-10,397.62,403.18,397.62,403.1,16570000.0,403.1
1997-03-07,396.98,398.49,396.56,397.62,19320000.0,397.62
1997-03-06,394.6,398.61,394.6,396.98,20060000.0,396.98
